,Molecular Weight,Boiling Point,Melting Point,Density,Viscosity,Vapor Pressure,Refractive Index,LogP,Dipole Moment,Dielectric Constant,Alpha,Beta,Pi,Dispersion,Polarity,H Bonding,Molar Volume
0,98.96,83.4,-35.6,1.2454,0.7800000000000002,78.89,1.4422,1.48,1.27,10.74,0.0,0.10000000000000003,0.81,19.0,7.4,4.1,79.46009314
1,90.12,85.0,-58.0,0.863,0.4859,48.00000000000001,1.3813,-0.20999999999999996,1.71,7.199999999999999,0.0,0.41,0.53,15.4,6.3,6.0,104.4264195
2,76.1,124.1,-85.1,0.9647,1.5440000000000005,9.5,1.4024,-0.77,2.04,16.93,0.264705882,0.419019608,0.624716981,16.2,9.2,16.4,78.87944439
3,60.05,117.9,16.6,1.0446,1.056,15.700000000000003,1.372,-0.16999999999999993,1.7,6.199999999999999,1.12,0.45,0.64,14.5,8.0,13.5,57.48841662000001
4,102.09,139.5,-73.4,1.082,0.843,5.109999999999999,1.3901,-0.27000000000000024,2.8,20.7,0.0,0.29,0.76,16.0,11.7,10.2,94.35268022
5,58.08,56.08,-94.9,0.7845,0.3200000000000003,231.0,1.3588,-0.24,2.88,20.7,0.08000000000000002,0.43,0.71,15.5,10.4,7.0,74.03416189
6,41.05,81.6,-44.0,0.79,0.34999999999999964,88.8,1.33934,-0.33999999999999986,3.94,37.5,0.19,0.4,0.75,15.3,18.0,6.1,51.96506329
7,108.14,153.7,-37.3,0.9956,0.7780000000000005,3.5400000000000063,1.51791,2.11,1.36,4.3000000000000025,0.0,0.32,0.73,17.8,4.1,6.7,108.6179188
8,78.11,80.08,5.558000000000007,0.8756,0.6040000000000001,94.8,1.5011,2.13,0.0,2.2750000000000004,0.0,0.10000000000000003,0.59,18.4,0.0,2.0,89.21128369
9,146.11,103.46,-29.05,1.1886,0.5524000000000004,38.83,1.41486,3.01,2.86,9.18,0.264705882,0.419019608,0.624716981,17.5,8.8,8.881784197001252e-16,122.9261316
10,108.14,205.3,-15.2,1.0419,5.474,0.09399999999999409,1.5396,1.1,1.71,13.0,0.6,0.52,0.98,18.4,6.3,13.7,103.7907669
11,153.82,76.7,-22.200000000000003,1.594,0.9100000000000001,115.0,1.4601,2.83,0.0,2.1999999999999993,0.0,0.10000000000000003,0.28,17.8,0.0,0.5999999999999988,96.50125471
12,119.38,61.120000000000005,-63.47,1.484,0.54,197.0,1.4459,1.97,1.01,4.800000000000001,0.2,0.10000000000000003,0.58,17.8,3.1,5.7,80.44332884
13,84.16,80.7,6.469999999999999,0.7781,0.8899999999999997,97.5,1.42662,3.44,0.6099999999999999,1.9999999999999982,0.0,0.0,0.0,16.8,0.0,0.1999999999999993,108.1619329
14,98.14,155.4,-31.0,0.9421,2.0199999999999996,5.0,1.4507,0.81,3.08,16.02,0.0,0.53,0.76,17.8,6.3,5.1,104.1762021
15,100.16,105.45,-140.0,0.86,0.5490000000000004,34.60000000000001,1.4235,1.59,1.27,4.76,0.0,0.53,0.42,16.7,4.3,4.3,116.4653488
16,128.13,227.0,-20.0,1.25,11.62,0.10999999999999943,1.4712,-0.71,4.4,3.4000000000000004,0.0,0.61,0.93,18.8,10.6,6.9,102.504
17,84.93,39.749999999999986,-95.0,1.3255,0.41000000000000014,435.0,1.4244,1.25,1.6,9.1,0.13,0.10000000000000003,0.82,18.2,6.3,6.1,64.07604677
18,74.12,34.599999999999994,-116.30000000000001,0.7134,0.22000000000000064,538.0,1.35555,0.89,1.15,4.3000000000000025,0.0,0.47,0.27,14.5,2.9,5.1,103.9001962
19,90.08,90.5,0.5,1.0636,0.6639999999999997,55.364,1.3687,0.1499999999999999,0.93,3.17,0.0,0.32,0.44,15.5,3.9,9.7,84.69217751
